"CourseTitle","Category","Sub Category","CourseWebsite","Duration","DurationTerm","StudyMode","DegreeLevel","IntakeDay","IntakeMonth","ApplyDay","ApplyMonth","City","DomesticOnly","InternationalFee","DomesticFee","FeeTerm","FeeYear","Currency","StudyLoad","Language","IELTS_Listening","IELTS_Speaking","IELTS_Writing","IELTS_Reading","IELTS_Overall","PTE_Listening","PTE_Speaking","PTE_Writing","PTE_Reading","PTE_Overall","TOEFL_Listening","TOEFL_Speaking","TOEFL_Writing","TOEFL_Reading","TOEFL_Overall","English Test","English Test Reading","English Test Listening","English Test Speaking","English Test Writing","English Test Overall","AcademicLevel","AcademicScore","ScoreType","AcademicCountry","OtherTest","Score","OtherRequirement","CourseDescription","CourseStructure","Career"
"Criminal Justice,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/criminology-degrees/ba-hons-criminal-justice","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Criminal Justice degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Shaped to give students an insight into the relationship between crime and social justice, this criminal justice course is designed to give you a better understanding of the causes, consequences and prevention of crime from social, legal, political and personal perspectives - gearing you up for a successful future career.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Do you want a career that's as rewarding as it is challenging? Are you looking to work in a sector that helps make a difference to people's lives? If the answer is yes, you’re in the right place. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Most of us are directly affected by crime at some point in our lives, and it’s often the focus of public debate. The presence of crime in our day-to-day lives leads to questions such as: How should society deal with criminals? What causes criminal behaviour? Can crime be prevented? </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>If you want to explore these questions further, then this BA (Hons) Criminal Justice degree is a great fit for you.</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to 3 years to complete each level. However, many of our students complete their criminal justice university course within 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Crime &amp; Society</li>
	<li>Criminal Justice System</li>
	<li>English Legal System</li>
	<li>Criminal Law</li>
	<li>Inequalities in the Modern World</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research and Ethics in Action</li>
	<li>Contemporary Debates in Criminology</li>
	<li>Civil Liberties &amp; Human Rights</li>
	<li>Environmental Criminology</li>
	<li>Policing and Police Powers</li>
	<li>Abnormality &amp; The Deviant Other</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Cybercrime</li>
	<li>Youth Justice</li>
	<li>Crime Prevention</li>
	<li>Law of Evidence</li>
	<li>Research Planning &amp; Project</li>
</ul>","<p>Completing an inter-disciplinary criminal justice university course can open up a world of opportunity – and not just in the criminal justice system, but also further afield into other industries you might not have even considered! With that in mind, a few career options for you could include: </p>,<ul>
	<li>Social work</li>
	<li>Civil servant</li>
	<li>Youth justice</li>
	<li>Teacher</li>
	<li>Probation</li>
	<li>Law and research</li>
	<li>Local authorities</li>
</ul>"
"Criminology and Law,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/criminology-degrees/ba-hons-criminology-law","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Criminology and Law degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent.</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Designed to provide students with a fascinating insight into two complementary fields of social science, our criminology and law degree will gear you up for a successful career in the law, justice, social services, and more. And the best part is, you can do it all from the comfort of your own home - at a pace that suits you. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>You don’t need to have a career plan in mind to enrol onto our law and criminology undergraduate degree. You’ll cover all elements of legal study, such as the relationship between crime, society and the law, the political, psychological and social aspects of criminology, and crime prevention, so you’ll soon start to gauge an idea of where you want to go in the future. To get started, all you need is the desire to learn and the drive to do your best. </p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to 3 years to complete each level. However, many of our students complete their criminology and law online course within 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Crime &amp; Society</li>
	<li>Criminal Justice System</li>
	<li>English Legal System</li>
	<li>Criminal Law</li>
	<li>Law &amp; Ethics</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research and Ethics in Action</li>
	<li>Contemporary Debates in Criminology</li>
	<li>Civil Liberties &amp; Human Rights</li>
	<li>Tort Law 1 (Negligence)</li>
	<li>Policing and Police Powers</li>
	<li>Tort Law 2 (Other Torts)</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Cybercrime</li>
	<li>Youth Justice</li>
	<li>Crime Prevention</li>
	<li>Law of Evidence</li>
	<li>Research Planning &amp; Project</li>
</ul>","<p>Choosing to study criminology and law is perfect if you’re looking to put your new knowledge into practice. This flexible qualification can give you access to many different career opportunities, such as:</p>,<ul>
	<li>Social work</li>
	<li>Counselling</li>
	<li>Crime prevention</li>
	<li>Community work</li>
	<li>Court services</li>
	<li>Mental health</li>
	<li>HR</li>
	<li>Central and Local Government</li>
</ul>"
"Business,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-business-foundation-degree","4-12 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our BA (Hons) Business with Foundation Year course are required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study for the programme. This statement should include:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you interested in pursuing a professional career in business and management, but you’re unsure if you qualify for university study? Arden’s BA (Hons) Business with Foundation Year degree is designed to prepare you with the skills and knowledge you need to succeed in any career you want.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Our business foundation year course will enable you to explore a range of business environments, covering key elements of business management, the principles of marketing, and the ability to make crucial business changes. These areas of expertise are designed to bring out your best qualities, and are highly sought after in the modern business world - leaving your career options wide open after graduating.</p>
                            </div>
                                                                                                        </div>","<p>You have 4-12 years to complete this course, meaning that you can take up to 3 years to complete each level. However, many of our students complete the course in 4-8 years.</p>,<p><strong>Foundation Year Modules</strong>    </p>,<ul>
	<li>Numeracy, IT and Data</li>
	<li>Research Skills and Using Information</li>
	<li>Values, Ethics and Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Structure of Business </li>
</ul>,<p><strong>Year 2</strong>    </p>,<ul>
	<li>Developing Personal and Management Skills</li>
	<li>Understanding the Business Environment</li>
	<li>Principles of Marketing</li>
	<li>Introduction to Finance</li>
	<li>People in Organisations</li>
	<li>Management Information Systems</li>
</ul>,<p><strong>Year 3  </strong>  </p>,<ul>
	<li>Managing Across Cultures</li>
	<li>Business Processes</li>
	<li>Enterprise and Entrepreneurship</li>
	<li>Business Analysis</li>
	<li>Managing Knowledge</li>
	<li>Managing Change in Organisations</li>
</ul>,<p><strong>Year 4  </strong>  </p>,<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Management</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>As mentioned above, you can do almost anything! Business foundation degrees open up a world of opportunities across all aspects of the business sector. Here are some of the professions our previous graduates have gone on to explore:</p>,<ul>
	<li>Business Manager</li>
	<li>Human Resources Manager</li>
	<li>Marketing Executive</li>
	<li>Operations Manager</li>
	<li>Retail Manager</li>
	<li>Business Analyst</li>
</ul>"
"Business and Computing,BA (Hons) & Foundation Year",,,"https://arden.ac.uk/our-courses/undergraduate/foundation-year-entry-degrees/ba-hons-business-and-computing-foundation-degree","4-12 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Candidates for our BA (Hons) Business and Computing foundation degree are required to submit a personal statement (of between 350-550 words) or interview demonstrating an ability to study for the programme. This statement should include:</p>,<ul>
	<li>Your motivation for undertaking the programme</li>
	<li>Relevant work experience</li>
	<li>Prior qualifications</li>
	<li>References</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Are you interested in studying for a business and computing course, but need a little extra preparation? Arden University’s BA (Hons) Business and Computing with Foundation Year course will first help you gain the core knowledge required to progress to degree-level study. These key skills will continue to be built and developed throughout the remainder of your programme – from basic numeracy and research skills to IT and fundamental business and computing topics. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>The foundation year of this course gives students a pathway to an education they deserve. Once completed, your computing and business degree will help you to understand how an organisation’s information systems adapt to change, while also gaining highly relevant hands-on experience that provides immediate appeal to potential employers after graduation. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Having the foundation year under your belt will give you a valuable head start on your degree programme, giving you everything you need to progress in your dream career. </p>
                            </div>
                                                                                                        </div>","<p>You have 4-12 years to complete this course, meaning that you can take up to 3 years for each level – however, many of our students complete the course in 4-8 years. </p>,<p><strong>Foundation Year Modules</strong></p>,<ul>
	<li>Using Numeracy, IT &amp; Data</li>
	<li>Research Skills &amp; Using Information</li>
	<li>Values, Ethics &amp; Working Collaboratively</li>
	<li>Developing Academic Skills</li>
	<li>Structure of Business </li>
</ul>,<p><strong>Year 2</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Computer Technology </li>
	<li>Information Systems in Organisations </li>
	<li>Understanding the Business Environment </li>
	<li>Principles of Marketing </li>
	<li>People in Organisations</li>
</ul>,<p><strong>Year 3</strong></p>,<ul>
	<li>Research Ethics in Action</li>
	<li>Data Communications</li>
	<li>Quality Systems in IT</li>
	<li>Strategic Information Systems</li>
	<li>Managing Across Cultures</li>
	<li>Enterprise &amp; Entrepreneurship</li>
</ul>,<p><strong>Year 4</strong></p>,<ul>
	<li>Current Trends in Networking </li>
	<li>Management in IT</li>
	<li>Contemporary Management Issues</li>
	<li>International Management</li>
	<li>Research Planning &amp; Project</li>
</ul>",
"Business and Law,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/business-degree/ba-hons-business-law","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>Our BA (Hons) Business and Law degree has standard entry requirements. To be able to study this course, we need to see that you have:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent; OR</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>In a competitive business world, knowledge of legal systems is guaranteed to give you the edge. Ready to launch your career as a forward-thinking professional who is confident at decision-making? Then this business and law degree is an excellent choice for you.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Not only can a business and law course help you to develop a broad understanding of business activity, but it will also give you all the academic tools needed to gain an understanding of the values, principles and rules of English law - and the importance and influence this has on a business. With knowledge and skills like this under your belt, you’ll have the ability to excel in any demanding business environment. </p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this course, meaning that you can take up to 3 years to complete each level. However, many of our students complete their business and law course within 3-6 years.</p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Understanding the Business Environment</li>
	<li>English Legal System</li>
	<li>Law of Contract</li>
	<li>Principles of Marketing</li>
	<li>People in Organisations</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research Ethics in Action</li>
	<li>Managing Across Cultures</li>
	<li>Law of Tort 1 – Tort of Negligence</li>
	<li>Law of Tort 2 – Land and Other Torts</li>
	<li>European Union Law</li>
	<li>Enterprise &amp; Entrepreneurship</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Company Law</li>
	<li>Employment Law</li>
	<li>Contemporary Management Issues</li>
	<li>International Management</li>
	<li>Research Planning &amp; Project</li>
</ul>","<p>A business and law degree will help to launch your future as a smart, forward-thinking professional, so after graduating you’ll be spoilt for choice on which career path to go for. Some of your career options could include: </p>,<ul>
	<li>Business and commerce</li>
	<li>Court Services</li>
	<li>Banking and Finance</li>
	<li>Local and Central Government</li>
	<li>Police and Prison services</li>
	<li>Contract Management</li>
	<li>Procurement</li>
</ul>"
"Business and Computing,BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/business-degree/ba-hons-business-computing","3-9 ","Year","Online","Undergraduate",,,,,,,,,,,,,,6,6,6,6,6.5,,,,,,,,,,90,,,,,,,,,,,,,"<p>To be eligible for this business computing course, you must have either:</p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent</li>
	<li>Completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Computing is the foundation of any successful business, and if you’re looking for a career where the two are fundamentally connected, our BA (Hons) Business and Computing course is the right choice for you. With this online business and computing degree, you’ll focus on the influence of key business and computing concepts – from how to achieve a business’ strategic objectives to managing IT and computing systems.</p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>If you want to stay ahead of the curve and analyse the latest technologies in leading business computing theories, then this is the path for you – but it’s not just about the theory. You’ll also apply your knowledge to real-world settings through case studies and portfolios. Ready to get started? </p>
                            </div>
                                                                                                        </div>","<p><strong>Level 4</strong></p>,<ul>
	<li>Effective Interdisciplinary Study</li>
	<li>Computer Technology </li>
	<li>Information Systems in Organisations </li>
	<li>Understanding the Business Environment </li>
	<li>Principles of Marketing </li>
	<li>People in Organisations </li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Research Ethics in Action</li>
	<li>Data Communications</li>
	<li>Quality Systems in IT</li>
	<li>Strategic Information Systems</li>
	<li>Managing Across Cultures</li>
	<li>Enterprise &amp; Entrepreneurship</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Current Trends in Networking</li>
	<li>Management in IT</li>
	<li>Contemporary Management Issues</li>
	<li>International Management</li>
	<li>Research Planning &amp; Project</li>
</ul>",
"Business (Tourism) (Top-Up),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/degree-top-ups/ba-hons-business-tourism-top-up","1-3 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible for this BA (Hons) Business (Tourism) top-up degree, we need to see that you have:</p>,<ul>
	<li>A HND in Business or equivalent, provided that your prior learning is consistent with Level 5 of the functional areas of Business (Finance, Marketing, HRM and Operations Management)</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>If you're passionate about travel and tourism, then this is the perfect top-up course for you. Developing your management skills and getting you up to speed on all things business, this course will fulfil your career aspirations in the tourism sector - whatever they are. Designed to bring out your best potential, this top-up degree covers all aspects of two key disciplines. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Get industry-ready with a business (tourism) top-up degree. The perfect choice for anyone who’s already completed a HND in business (or equivalent), this course will equip you with the knowledge and skills you need to excel in the career you want. On this degree, you’ll develop professional-level skills and an understanding of the dynamics of the tourism industry – preparing you to become a smart, well-rounded manager in the tourism sector. </p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Destination Management</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>After achieving your qualification, you'll have a much wider range of options to choose from than just the subject matter of your degree. Some of the typical job roles you might want to explore include:</p>,<ul>
	<li>Business Manager</li>
	<li>Hotel Manager</li>
	<li>Travel Consultant</li>
	<li>Sales Manager</li>
	<li>Business Development Executive</li>
	<li>Marketing Executive</li>
	<li>Operations Manager</li>
	<li>Tour Manager</li>
	<li>Travel Agency Manager</li>
	<li>Event Organiser</li>
	<li>Travel Administrator</li>
</ul>"
"Business (Tourism),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/business-degree/ba-hons-business-tourism","3-9 ","Year","Both","Undergraduate",,,,,"Berlin,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible to study this BA (Hons) Business (Tourism) degree, we need to see that you have: </p>,<ul>
	<li>Two subjects at GCE A-Level or equivalent, plus passes at grade C or above in three subjects at GCSE level or equivalent</li>
	<li>OR, you must have completed a recognised Access Programme or equivalent</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p><strong>Do you have an interest in business and a passion for travel and tourism? Then why not combine these passions to study for a highly rewarding degree qualification? With this course, you'll gain all the skills that are necessary to become an effective manager in the tourism sector.</strong></p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Developing professional level business skills and an understanding of the tourism industry, this course will fulfil your career aspirations in the tourism sector - whatever they are. Designed to bring out your best potential, this bachelor’s degree covers all aspects of both key disciplines, leaving you to decide where you want to go in your future career path. All you need to get started is the desire to learn and the drive to do your best. </p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this business (tourism) degree, meaning that you can take up to 3 years to complete each level; however, most of our students complete the course within 3-6 years. </p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Developing Personal and Management Skills</li>
	<li>Understanding the Business Environment</li>
	<li>Principles of Marketing</li>
	<li>Introduction to Finance</li>
	<li>People in Organisations</li>
	<li>Understanding the Tourism Environment</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Managing across Cultures</li>
	<li>Business Processes</li>
	<li>Enterprise and Entrepreneurship</li>
	<li>Business Analysis</li>
	<li>Contemporary Issues in Tourism Management</li>
	<li>Sustainable Tourism Management</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Destination Management</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>Graduates of this business and tourism degree have a much wider range of options available to them than just the subject matter of their course. So the possibilities are endless! Some of the typical job roles you might want to explore include:</p>,<ul>
	<li>Business Manager</li>
	<li>Hotel Manager</li>
	<li>Travel Consultant</li>
	<li>Sales Manager</li>
	<li>Business Development Executive</li>
	<li>Marketing Executive</li>
	<li>Operations Manager</li>
	<li>Tour Manager</li>
	<li>Travel Agency Manager</li>
	<li>Event Organiser</li>
	<li>Travel Administrator</li>
</ul>"
"Business (Top-Up),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/degree-top-ups/ba-hons-business-top-up","1-3 ","Year","Both","Undergraduate",,,,,"Manchester,Birmingham,London,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible to study this BA (Hons) Business top-up degree, we need to see that you have: </p>,<ul>
	<li>A HND in Business or equivalent, provided that your prior learning is consistent with Level 5 of the functional areas of business (Finance, Marketing, HRM and Operations Management)</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Do you have an interest in business and a keen desire to manage? With this business top-up degree, you can combine these passions and accelerate yourself to the career you want. On this course, you'll gain all the skills that are necessary to become an effective manager in a variety of business environments. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Developing professional level business skills and an understanding of business structures, this course will fulfil your career aspirations in whichever sector you choose. Designed to bring out your best potential, this business top-up degree covers all aspects of business functions and practices, leaving you to decide where you want to go in your future career path. All you need to get started is the drive to do your best. </p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Management</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>Your graduate status and the skills you gain throughout your degree are what employers will be interested in. These skills cover everything from analytical and critical thinking, problem solving, strong interpersonal and communication skills and an appreciation of organisational behaviour and structures. With it, you’ll have a variety of opportunities at your fingertips. Some of the job roles you might want to explore include:</p>,<ul>
	<li>Business Manager</li>
	<li>Hotel Manager</li>
	<li>Travel Consultant</li>
	<li>Sales Manager</li>
	<li>Business Development Executive</li>
	<li>Marketing Executive</li>
	<li>Operations Manager</li>
	<li>Tour Manager</li>
	<li>Travel Agency Manager</li>
	<li>Event Organiser</li>
	<li>Travel Administrator</li>
</ul>"
"Business (Marketing) (Top-Up),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/degree-top-ups/ba-hons-business-marketing-top-up","1-3 ","Year","Online","Undergraduate",,,,,,,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,"<p>To be eligible for this BA (Hons) Business (Marketing) top-up degree, we need to see that you have:</p>,<ul>
	<li>A HND in Business or equivalent, provided that your prior learning is consistent with Level 5 of the functional areas of Business (Finance, Marketing, HRM and Operations Management)</li>
</ul>","<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Maximise your future opportunities in the world of business and marketing with a top-up degree that’s designed to set you apart from the rest. On this course, you’ll learn a variety of transferable skills that will help you to launch your career as a smart, forward-thinking professional. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Looking to develop your understanding of business? Keen to gain transferable marketing skills? Then this is the right course for you. If you’ve previously completed a HND in business (or equivalent) then this degree will enable you to achieve a full undergraduate qualification with just one extra year of study. During this course, you’ll focus on skills and knowledge specific to marketing, strategy planning and marketing communications, which can be applied across the world in your choice of industry - wherever your career takes you.</p>
                            </div>
                                                                                                        </div>","<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Marketing</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>As mentioned above, business and marketing degrees open up a world of opportunity across a wide range of sectors. Take a look at some of the professions our previous graduates have gone on to explore: </p>,<ul>
	<li>Brand Manager</li>
	<li>Campaign Manager</li>
	<li>Communications Manager</li>
	<li>Sales and Marketing Manager</li>
	<li>Marketing Executive</li>
	<li>Communications Executive or Assistant</li>
	<li>Event Organiser</li>
	<li>Product Manager</li>
	<li>Public Affairs Consultant</li>
	<li>Public Relations Account Executive</li>
	<li>Public Relations Officer</li>
</ul>"
"Business (Marketing),BA (Hons)",,,"https://arden.ac.uk/our-courses/undergraduate/business-degree/ba-hons-business-marketing","3-9 ","Year","Both","Undergraduate",,,,,"Berlin,",,,,,,,,,5.5,5.5,5.5,5.5,6,,,,,,,,,,80,,,,,,,,,,,,,,"<div class=""c-content"">
                    <h3>Course Overview</h3>
                                                                                                                          <div class=""intro h4"">
                                                            <p>Accelerate your way to a career in business and marketing with a CMI accredited degree. Looking to develop your understanding of business? Keen to gain advanced marketing skills and knowledge? On this course, you’ll learn everything you need to know to demonstrate to employers that you can support real change in their organisations. </p>
                            </div>
                                                                                                                                <div class=""text"">
                                                            

<p>Our BA (Hons) Business and Marketing degree is designed to bring out your best potential, focusing on skills and knowledge specific to marketing, strategy planning and communications, which can be applied to a range of sectors and industries across the world. All you need to get started is the desire to learn, the confidence to step out of your comfort zone and the drive to do your best.</p>
                            </div>
                                                                                                        </div>","<p>You have 3-9 years to complete this business (marketing) course, meaning that you can take up to 3 years to complete each level; however, most of our students complete the course within 3-6 years. </p>,<p><strong>Level 4</strong></p>,<ul>
	<li>Developing Personal and Management Skills</li>
	<li>Understanding the Business Environment</li>
	<li>Principles of Marketing</li>
	<li>Introduction to Finance</li>
	<li>People in Organisations</li>
	<li>Marketing Communications</li>
</ul>,<p><strong>Level 5</strong></p>,<ul>
	<li>Managing Across Cultures</li>
	<li>Business Processes</li>
	<li>Enterprise and Entrepreneurship</li>
	<li>Business Analysis</li>
	<li>Market Intelligence</li>
	<li>Marketing Planning</li>
</ul>,<p><strong>Level 6</strong></p>,<ul>
	<li>Contemporary Management Issues</li>
	<li>Strategic Management</li>
	<li>Managing Self and Others</li>
	<li>International Marketing</li>
	<li>Research Methods and Dissertation</li>
</ul>","<p>Marketing is essential to the growth, performance and profit of every organisation, so successful graduates from this business and marketing course will have a number of opportunities across private, public and voluntary sectors. Some job roles you might want to explore include: </p>,<ul>
	<li>Brand Manager</li>
	<li>Campaign Manager</li>
	<li>Communications Manager</li>
	<li>Sales and Marketing Manager</li>
	<li>Marketing Executive</li>
	<li>Communications Executive or Assistant</li>
	<li>Event Organiser</li>
	<li>Product Manager</li>
	<li>Public Affairs Consultant</li>
	<li>Public Relations Account Executive</li>
	<li>Public Relations Officer</li>
</ul>"
